Pos.,Participantes,7/1/21,7/8/21,7/15/21,7/22/21,7/29/21,8/5/21,8/12/21,8/19/21,8/26/21,9/2/21,9/9/21,9/16/21,9/23/21,9/30/21,PJ,Total,$$,ROI
1,Bru,5,0,5,-1,0,3,0,0,0,5,0,1,,5,13,36,144.5,122%
2,Jimmy,0,0,0,-1,0,5,5,3,1,-1,3,0,0,3,14,32,106,51%
3,Negro,0,5,3,1,0,1,0,0,0,0,0,5,3,0,14,32,90,29%
4,Pucky L,-1,0,0,0,0,0,3,5,0,0,,0,5,-1,13,24,43,-34%
5,Lilo,,3,0,0,5,0,0,,3,0,,0,0,,10,21,63.5,27%
6,Pomp,1,,0,0,0,0,1,0,5,1,0,-1,0,1,13,21,55,-15%
7,Razor,0,0,1,5,0,0,0,1,0,-1,0,0,0,0,14,20,45,-36%
8,Cerba,0,0,0,0,1,0,0,0,-1,0,5,0,1,0,14,20,33,-53%
9,Fox,3,1,,0,3,-1,0,,,0,,3,-1,0,10,18,47,-6%
10,Richi,0,-1,-1,3,-1,0,-1,0,0,-1,0,0,0,0,14,12,15,-79%
11,Gordotox,,0,0,0,-1,,-1,-1,-1,3,-1,-1,,,10,7,16.5,-67%
12,Jaguar,0,,,,,,,,,,,,,,1,1,,-100%
12,Perez,,,,,,,,,0,0,1,,,,3,4,5,-67%